map{ id = "first_map", description = "First map" }

tileset{ id = "castle", description = "Castle" }
tileset{ id = "house", description = "House" }
tileset{ id = "outside", description = "Light Overworld" }
tileset{ id = "zoria", description = "Zoria" }

sprite{ id = "animals/beaver", description = "Beaver" }
sprite{ id = "animals/bird_red", description = "Red Bird" }
sprite{ id = "animals/butterfly_blue", description = "Butterfly blue" }
sprite{ id = "animals/butterfly_pink", description = "Butterfly pink" }
sprite{ id = "animals/butterfly_purple", description = "Butterfly purple" }
sprite{ id = "animals/butterfly_white", description = "Butterfly white" }
sprite{ id = "animals/butterfly_yellow", description = "Butterfly yellow" }
sprite{ id = "animals/cat_green", description = "Green Cat" }
sprite{ id = "animals/cat_red", description = "Red Cat" }
sprite{ id = "animals/cat_yellow", description = "Yellow Cat" }
sprite{ id = "animals/chicken", description = "Chicken" }
sprite{ id = "animals/chimp", description = "Chimp" }
sprite{ id = "animals/fox", description = "Fox" }
sprite{ id = "animals/lion", description = "Lion" }
sprite{ id = "animals/meow_orange", description = "Meow orange" }
sprite{ id = "animals/mosquito", description = "Mosquito" }
sprite{ id = "animals/mouse", description = "Mouse" }
sprite{ id = "animals/phoenix", description = "Phoenix" }
sprite{ id = "animals/sea_turtle", description = "Sea turtle" }
sprite{ id = "animals/seagull", description = "Seagull" }
sprite{ id = "animals/seagull_bartender", description = "Seagull bartender" }
sprite{ id = "animals/seagull_scientist", description = "Seagull scientist" }
sprite{ id = "animals/seagull_trash1", description = "Seagull - Trash 1" }
sprite{ id = "animals/seagull_trash2", description = "Seagull - Trash 2" }
sprite{ id = "animals/seagull_trash3", description = "Seagull - Trash 3" }
sprite{ id = "animals/seagull_trash4", description = "Seagull - Trash 4" }
sprite{ id = "animals/sheep", description = "Sheep" }
sprite{ id = "animals/sheep_wolf", description = "Wolf in Sheep's Clothing" }
sprite{ id = "animals/squirrel", description = "Squirrel" }
sprite{ id = "animals/wolf", description = "Wolf" }
sprite{ id = "animals/worf_brown", description = "Worf Brown" }
sprite{ id = "blocks/bertram_block", description = "Bertram block" }
sprite{ id = "blocks/block_blue", description = "Block (blue)" }
sprite{ id = "blocks/block_brown", description = "Block (brown)" }
sprite{ id = "blocks/block_green", description = "Block (green)" }
sprite{ id = "blocks/block_grey", description = "Block (grey)" }
sprite{ id = "blocks/block_pink", description = "Block (pink)" }
sprite{ id = "blocks/block_purple", description = "Block (purple)" }
sprite{ id = "blocks/block_red", description = "Block (red)" }
sprite{ id = "blocks/block_violet", description = "Block (violet)" }
sprite{ id = "blocks/block_yellow", description = "Block (yellow)" }
sprite{ id = "blocks/outside_block", description = "Outside block" }
sprite{ id = "blocks/statue", description = "Statue" }
sprite{ id = "chests/bertram_big_chest", description = "Bertram big chest" }
sprite{ id = "chests/bertram_chest", description = "Bertram chest" }
sprite{ id = "chests/chest_blue", description = "Chest (blue)" }
sprite{ id = "chests/chest_brown", description = "Chest (brown)" }
sprite{ id = "chests/chest_green", description = "Chest (green)" }
sprite{ id = "chests/chest_purple", description = "Chest (purple)" }
sprite{ id = "chests/chest_red", description = "Chest (red)" }
sprite{ id = "chests/chest_yellow", description = "Chest (yellow)" }
sprite{ id = "chests/large_chest_brown", description = "Large chest (brown)" }
sprite{ id = "chests/zane_chest_gold", description = "Zane large chest" }
sprite{ id = "chests/zane_chest_green", description = "Zane chest" }
sprite{ id = "chests/zoria_big_chest", description = "Zoria big chest" }
sprite{ id = "chests/zoria_chest", description = "Chest" }
sprite{ id = "console/cursor", description = "Console cursor" }
sprite{ id = "console/icons", description = "Console icons" }
sprite{ id = "destructibles/bomb_flower", description = "Bomb flower" }
sprite{ id = "destructibles/bush", description = "Bush" }
sprite{ id = "destructibles/cabbagge_green", description = "Plant Green" }
sprite{ id = "destructibles/cabbagge_grey", description = "Plant Grey" }
sprite{ id = "destructibles/cabbagge_red", description = "Plant Red" }
sprite{ id = "destructibles/cabbagge_violet", description = "Plant Violet" }
sprite{ id = "destructibles/cabbagge_yellow", description = "Plant Yellow" }
sprite{ id = "destructibles/grass_dark_green", description = "Grass center (dark green)" }
sprite{ id = "destructibles/grass_dark_green_1", description = "Grass 1 (dark green)" }
sprite{ id = "destructibles/grass_grass_dark_green_3", description = "Grass 3 (dark green)" }
sprite{ id = "destructibles/grass_grass_dark_green_5", description = "Grass 5 (dark green)" }
sprite{ id = "destructibles/grass_grass_dark_green_7", description = "Grass 7 (dark green)" }
sprite{ id = "destructibles/grass_green", description = "Grass center (green)" }
sprite{ id = "destructibles/grass_green_1", description = "Grass 1 (green)" }
sprite{ id = "destructibles/grass_green_3", description = "Grass 3 (green)" }
sprite{ id = "destructibles/grass_green_5", description = "Grass 5 (green)" }
sprite{ id = "destructibles/grass_green_7", description = "Grass 7 (green)" }
sprite{ id = "destructibles/grass_square", description = "Square grass" }
sprite{ id = "destructibles/rock_golden", description = "Rock (golden)" }
sprite{ id = "destructibles/rock_grey", description = "Rock (grey)" }
sprite{ id = "destructibles/stone_brown", description = "Stone (brown)" }
sprite{ id = "destructibles/stone_white", description = "Stone (white)" }
sprite{ id = "destructibles/vase", description = "Vase" }
sprite{ id = "destructibles/vase_round_purple", description = "Round vase (purple)" }
sprite{ id = "destructibles/zoria_rock", description = "Rock" }
sprite{ id = "doors/door_big_key", description = "Door (big key)" }
sprite{ id = "doors/door_boss_key", description = "Door (boss key)" }
sprite{ id = "doors/door_normal", description = "Door (normal)" }
sprite{ id = "doors/door_small_key", description = "Door (small key)" }
sprite{ id = "doors/door_small_key_block", description = "Door (small key block)" }
sprite{ id = "doors/door_very_weak_wall", description = "Door (very weak wall)" }
sprite{ id = "doors/door_weak_block", description = "Door (weak block)" }
sprite{ id = "doors/door_weak_wall", description = "Door (weak wall)" }
sprite{ id = "doors/sideview_door_small_green", description = "Side-view small door (green)" }
sprite{ id = "doors/sideview_door_small_wooden", description = "Side-view small door (wooden)" }
